minute,kills_diff,towers_diff,dragons_diff,win,gold_diff_per_min
0,0,0,0,0,0.0
1,0,0,0,0,2.5
2,0,0,0,0,32.333333333333336
3,0,0,0,0,28.5
4,-1,0,0,0,-100.8
5,0,0,0,0,-45.0
6,-1,0,0,0,-126.42857142857143
7,-1,0,0,0,-121.75
8,-2,0,0,0,-159.11111111111111
9,-4,0,-1,0,-232.0
10,-4,0,-1,0,-200.0909090909091
11,-3,0,-1,0,-128.41666666666666
12,-6,-1,-1,0,-322.46153846153845
13,-6,-1,-1,0,-258.57142857142856
14,-7,-2,-1,0,-297.6666666666667
15,-6,-2,-2,0,-256.75
16,-6,-2,-2,0,-241.23529411764707
16,-9,-2,-2,0,-355.1764705882353
0,0,0,0,1,0.0
1,0,0,0,1,0.0
2,0,0,0,1,51.666666666666664
3,0,0,0,1,25.75
4,1,0,0,1,125.6
5,2,0,0,1,188.83333333333334
6,3,0,0,1,246.57142857142858
7,5,0,0,1,279.125
8,6,0,0,1,353.1111111111111
9,6,0,0,1,307.6
10,6,0,-1,1,279.0
11,8,0,-1,1,294.5
12,8,0,-1,1,311.15384615384613
13,10,1,-1,1,389.07142857142856
14,10,1,-1,1,353.4
15,10,1,-1,1,329.0625
16,11,2,0,1,348.05882352941177
17,12,2,0,1,371.77777777777777
18,14,3,0,1,420.1578947368421
19,15,5,0,1,480.35
19,17,5,0,1,468.0
0,0,0,0,1,0.0
1,0,0,0,1,-2.5
2,1,0,0,1,138.33333333333334
3,1,0,0,1,78.0
4,0,0,0,1,-46.2
5,1,0,0,1,15.833333333333334
6,0,0,0,1,-53.714285714285715
7,0,0,0,1,-4.25
8,3,0,0,1,110.77777777777777
9,1,0,-1,1,-18.8
10,3,0,-1,1,94.27272727272727
11,6,0,-1,1,200.91666666666666
12,5,0,-1,1,143.6153846153846
13,5,0,-1,1,117.85714285714286
14,6,1,-1,1,179.93333333333334
15,6,0,0,1,136.875
16,7,1,0,1,161.41176470588235
17,8,1,0,1,127.11111111111111
18,7,2,0,1,142.21052631578948
19,6,1,0,1,41.2
20,4,0,0,1,-42.23809523809524
21,2,0,-1,1,-128.8181818181818
22,3,1,-1,1,-67.30434782608695
23,3,1,-1,1,-83.125
24,5,1,-1,1,-49.64
25,7,1,-1,1,5.153846153846154
26,9,0,-1,1,4.407407407407407
27,11,0,0,1,78.85714285714286
28,12,1,0,1,82.79310344827586
29,16,3,0,1,193.43333333333334
30,16,3,0,1,173.1290322580645
31,17,4,0,1,192.625
31,18,4,0,1,209.34375
0,0,0,0,0,0.0
1,0,0,0,0,-10.0
2,0,0,0,0,-15.333333333333334
3,-1,0,0,0,-161.0
4,-1,0,0,0,-158.6
5,-1,0,0,0,-111.16666666666667
6,0,0,0,0,-59.142857142857146
7,-1,0,0,0,-194.0
8,0,0,0,0,-148.33333333333334
9,-1,0,0,0,-183.8
10,-3,0,-1,0,-256.0
11,-4,0,-1,0,-256.1666666666667
12,-6,0,-1,0,-292.2307692307692
13,-6,0,-1,0,-308.92857142857144
14,-4,1,-1,0,-102.2
15,-4,0,-1,0,-111.75
16,-7,1,-2,0,-131.76470588235293
17,-6,2,-2,0,-59.111111111111114
18,-6,2,-2,0,-76.05263157894737
19,-7,1,-2,0,-164.05
20,-8,-1,-2,0,-233.95238095238096
21,-9,-1,-2,0,-261.1363636363636
22,-9,-1,-3,0,-240.7826086956522
23,-10,-1,-3,0,-264.125
24,-10,-1,-3,0,-254.44
25,-9,-1,-3,0,-213.26923076923077
26,-8,-1,-3,0,-149.5185185185185
27,-11,-1,-4,0,-186.07142857142858
28,-13,-3,-4,0,-318.0
29,-17,-3,-4,0,-383.76666666666665
29,-17,-5,-4,0,-426.2
0,0,0,0,0,0.0
1,0,0,0,0,-10.0
2,0,0,0,0,72.0
3,0,0,0,0,-31.5
4,0,0,0,0,4.2
5,0,0,0,0,-38.166666666666664
6,-3,0,0,0,-183.14285714285714
7,-1,0,0,0,-14.125
8,-2,0,0,0,-46.22222222222222
9,-3,0,0,0,-87.5
10,-3,0,0,0,-98.27272727272727
11,0,0,0,0,31.666666666666668
12,2,0,0,0,104.6923076923077
13,1,-1,-1,0,-3.7142857142857144
14,0,-1,-1,0,-31.733333333333334
15,-1,-1,-1,0,-103.6875
16,-1,0,-1,0,-52.64705882352941
17,0,0,-1,0,-41.72222222222222
18,-1,0,-1,0,-65.6842105263158
19,-2,0,-2,0,-113.1
20,-4,-1,-2,0,-193.71428571428572
21,-5,-1,-2,0,-175.22727272727272
22,-5,-1,-2,0,-196.69565217391303
23,-4,-1,-2,0,-147.54166666666666
24,-1,-1,-3,0,-10.96
25,-1,0,-3,0,25.923076923076923
26,-2,1,-3,0,25.25925925925926
27,-3,0,-3,0,-22.071428571428573
28,-4,0,-3,0,-25.03448275862069
29,-6,0,-4,0,-104.5
30,-5,0,-4,0,-40.806451612903224
31,-3,0,-4,0,37.21875
32,-6,0,-4,0,-12.303030303030303
33,-5,-1,-4,0,-34.64705882352941
34,-8,-3,-4,0,-99.54285714285714
35,-6,-3,-4,0,-64.05555555555556
36,-7,-2,-3,0,-34.62162162162162
37,-4,-1,-3,0,36.5
38,-3,0,-3,0,55.82051282051282
39,-4,0,-3,0,66.1
40,-4,0,-3,0,21.634146341463413
41,-4,0,-3,0,20.666666666666668
42,-6,0,-3,0,-4.674418604651163
42,-8,-3,-3,0,-75.32558139534883
0,0,0,0,0,0.0
1,1,0,0,0,251.5
2,-2,0,0,0,-207.66666666666666
3,-2,0,0,0,-148.0
4,-2,0,0,0,-176.6
5,-1,0,0,0,-60.666666666666664
6,0,0,0,0,-22.142857142857142
7,1,0,1,0,26.625
8,2,0,1,0,79.0
9,1,0,1,0,52.3
10,2,0,1,0,137.63636363636363
11,1,0,1,0,120.66666666666667
12,-2,0,1,0,12.384615384615385
13,-2,1,2,0,90.14285714285714
14,-2,1,2,0,67.8
15,-3,1,2,0,63.0
16,-3,2,2,0,70.82352941176471
17,-2,3,2,0,121.55555555555556
18,-3,3,2,0,81.78947368421052
19,-3,3,1,0,107.9
20,-1,3,1,0,175.61904761904762
21,0,5,1,0,240.95454545454547
22,1,4,1,0,253.82608695652175
23,2,5,1,0,257.5833333333333
24,-1,6,0,0,155.64
25,-1,6,0,0,155.46153846153845
26,-5,6,0,0,83.03703703703704
27,-5,5,0,0,26.642857142857142
28,-6,6,0,0,18.862068965517242
29,-6,6,0,0,3.8333333333333335
30,-8,6,1,0,-27.0
31,-8,6,1,0,-42.3125
32,-8,5,1,0,-92.57575757575758
33,-10,2,1,0,-177.23529411764707
33,-13,0,1,0,-231.52941176470588
0,0,0,0,1,0.0
1,0,0,0,1,0.0
2,0,0,0,1,-21.666666666666668
3,-2,0,0,1,-324.0
4,-2,0,0,1,-312.6
5,-1,0,0,1,-239.5
6,-3,0,0,1,-361.0
7,-4,0,0,1,-341.25
8,-5,0,0,1,-325.8888888888889
9,-6,0,0,1,-361.6
10,-6,0,0,1,-310.8181818181818
11,-6,-1,0,1,-354.5
12,-3,-1,0,1,-234.84615384615384
13,-3,-1,0,1,-237.5
14,-3,-2,-1,1,-225.2
15,-4,-2,-1,1,-236.5625
16,-4,-2,-1,1,-183.94117647058823
17,-3,-3,-1,1,-144.55555555555554
18,-3,-3,-1,1,-143.94736842105263
19,-4,-3,-2,1,-183.4
20,-5,-3,-2,1,-214.76190476190476
21,-3,-3,-2,1,-168.6818181818182
22,-4,-2,-2,1,-145.6086956521739
23,-3,-2,-2,1,-121.75
24,-2,-1,-2,1,-99.28
25,-3,0,-3,1,-116.3076923076923
26,-2,-1,-3,1,-107.66666666666667
27,-3,-1,-3,1,-134.60714285714286
28,0,-1,-3,1,-56.86206896551724
29,0,-1,-3,1,-21.833333333333332
30,0,0,-3,1,-31.258064516129032
31,0,0,-3,1,-44.5625
32,2,0,-2,1,8.272727272727273
33,2,0,-2,1,0.29411764705882354
34,2,0,-2,1,8.885714285714286
35,3,0,-2,1,13.444444444444445
36,5,0,-2,1,21.89189189189189
37,8,0,-1,1,69.76315789473684
38,7,0,-1,1,60.76923076923077
39,7,0,-1,1,41.275
40,9,1,-1,1,79.92682926829268
41,9,2,-1,1,44.476190476190474
42,10,3,-1,1,46.0
43,8,2,0,1,-25.40909090909091
44,8,1,0,1,-41.86666666666667
45,9,1,0,1,-23.434782608695652
46,9,1,0,1,-26.29787234042553
47,9,1,0,1,-25.166666666666668
48,13,1,1,1,23.551020408163264
48,13,4,1,1,53.97959183673469
0,0,0,0,0,0.0
1,0,0,0,0,10.0
2,0,0,0,0,94.33333333333333
3,-1,0,0,0,-109.25
4,-3,0,0,0,-249.0
5,-3,0,0,0,-165.33333333333334
6,-2,0,0,0,-83.71428571428571
7,-2,0,1,0,-96.25
8,-3,0,1,0,-111.0
9,-3,0,1,0,-80.7
10,-2,0,1,0,-6.909090909090909
11,-2,0,1,0,-3.3333333333333335
12,-2,0,1,0,-1.8461538461538463
13,-1,0,0,0,32.285714285714285
14,-1,0,0,0,32.733333333333334
15,-1,1,0,0,61.5
16,-1,1,0,0,64.17647058823529
17,-2,2,0,0,38.5
18,-1,2,0,0,77.84210526315789
19,-2,3,1,0,47.1
20,-1,3,1,0,62.23809523809524
21,-1,3,1,0,43.59090909090909
22,-2,3,1,0,8.130434782608695
23,-2,3,1,0,1.875
24,-4,3,2,0,-2.32
25,-7,3,2,0,-113.23076923076923
26,-8,2,2,0,-159.0
27,-12,1,2,0,-243.21428571428572
28,-12,-3,2,0,-319.2068965517241
29,-14,-3,1,0,-317.93333333333334
30,-15,-3,1,0,-333.7741935483871
31,-12,-3,1,0,-170.46875
32,-11,-3,1,0,-149.03030303030303
33,-13,-2,1,0,-171.35294117647058
34,-14,-2,1,0,-192.94285714285715
35,-13,-2,0,0,-172.94444444444446
36,-15,-2,0,0,-191.67567567567568
37,-19,-4,0,0,-274.3421052631579
37,-19,-4,0,0,-274.36842105263156
0,0,0,0,0,0.0
1,0,0,0,0,-10.0
2,-1,0,0,0,-181.33333333333334
3,-2,0,0,0,-227.25
4,-1,0,0,0,-24.4
5,-1,0,0,0,-55.666666666666664
6,-3,0,-1,0,-141.85714285714286
7,-3,0,-1,0,-130.75
8,-5,0,-1,0,-196.33333333333334
9,-5,0,-1,0,-164.0
10,-6,0,-1,0,-226.0909090909091
11,-3,0,-1,0,-82.08333333333333
12,-6,0,-2,0,-172.84615384615384
13,-7,-1,-2,0,-215.92857142857142
14,-9,-1,-2,0,-263.06666666666666
15,-11,-3,-2,0,-362.3125
16,-9,-4,-2,0,-202.0
17,-10,-3,-2,0,-140.44444444444446
18,-10,-3,-3,0,-152.8421052631579
19,-14,-3,-3,0,-226.15
19,-16,-4,-3,0,-325.65
0,0,0,0,1,0.0
1,0,0,0,1,0.0
2,0,0,0,1,-8.0
3,0,0,0,1,66.5
4,-1,0,0,1,-76.0
5,0,0,0,1,-36.666666666666664
6,0,0,0,1,-36.0
7,-1,0,0,1,-40.75
8,-1,0,0,1,-17.88888888888889
9,1,0,1,1,114.9
10,1,0,1,1,123.63636363636364
11,1,0,1,1,131.41666666666666
12,3,0,1,1,269.53846153846155
13,2,0,1,1,215.71428571428572
14,3,0,1,1,246.86666666666667
15,4,2,0,1,287.75
16,5,2,0,1,280.7647058823529
17,5,2,0,1,258.77777777777777
18,4,4,0,1,269.57894736842104
19,3,4,0,1,186.25
20,6,4,1,1,232.47619047619048
21,6,4,1,1,229.04545454545453
22,6,4,1,1,212.3913043478261
23,5,4,1,1,207.04166666666666
24,7,4,1,1,264.72
24,11,7,1,1,403.28
0,0,0,0,1,0.0
1,0,0,0,1,0.0
2,0,0,0,1,65.33333333333333
3,0,0,0,1,3.75
4,-1,0,0,1,-164.2
5,0,0,0,1,-56.666666666666664
6,0,0,0,1,-65.0
7,1,0,0,1,-58.375
8,1,0,0,1,-67.0
9,0,0,0,1,-84.3
10,1,0,1,1,-8.090909090909092
11,0,0,1,1,-46.5
12,0,0,1,1,-32.30769230769231
13,2,0,1,1,55.0
14,1,0,1,1,43.266666666666666
15,1,-1,1,1,-22.125
16,1,0,2,1,-6.764705882352941
17,2,0,2,1,21.11111111111111
18,2,0,2,1,34.78947368421053
19,0,1,2,1,-0.05
20,0,1,2,1,-19.19047619047619
21,0,0,3,1,-58.81818181818182
22,1,-1,3,1,-52.869565217391305
23,3,-1,3,1,-20.458333333333332
24,3,-1,3,1,-41.4
25,3,-1,3,1,-22.53846153846154
26,6,0,3,1,87.66666666666667
27,5,0,4,1,29.821428571428573
28,5,0,4,1,32.48275862068966
29,8,0,4,1,120.4
30,9,2,4,1,209.96774193548387
31,10,3,4,1,219.375
32,13,5,4,1,284.6363636363636
33,12,6,4,1,266.6764705882353
34,14,6,5,1,298.2857142857143
35,14,6,5,1,302.47222222222223
35,14,8,5,1,326.47222222222223
0,0,0,0,0,0.0
1,0,0,0,0,2.5
2,0,0,0,0,-11.0
3,-1,0,0,0,-157.25
4,-1,0,0,0,-89.6
5,-2,0,0,0,-210.66666666666666
6,0,0,0,0,-24.714285714285715
7,0,0,0,0,-34.0
8,-2,0,-1,0,-147.88888888888889
9,-2,0,-1,0,-152.1
10,0,0,-1,0,-99.9090909090909
11,-2,0,-1,0,-212.25
12,-3,-1,-1,0,-297.7692307692308
13,-5,-1,-2,0,-371.42857142857144
14,-5,-1,-2,0,-350.6
15,-6,-2,-2,0,-410.3125
16,-6,-2,-2,0,-409.2352941176471
17,-8,-3,-2,0,-451.6111111111111
17,-8,-3,-2,0,-482.22222222222223
0,0,0,0,1,0.0
1,0,0,0,1,-3.0
2,0,0,0,1,-65.66666666666667
3,0,0,0,1,2.5
4,1,0,0,1,122.4
5,1,0,0,1,175.66666666666666
6,2,0,0,1,193.28571428571428
7,1,0,1,1,115.25
8,0,0,1,1,23.11111111111111
9,2,0,1,1,159.1
10,3,0,1,1,161.0909090909091
11,2,0,1,1,61.25
12,1,0,2,1,11.923076923076923
13,3,1,2,1,165.07142857142858
14,2,1,2,1,103.26666666666667
15,2,1,2,1,106.1875
16,4,1,2,1,185.52941176470588
17,5,2,2,1,263.1111111111111
18,4,3,3,1,228.57894736842104
18,3,4,3,1,205.52631578947367
0,0,0,0,1,0.0
1,0,0,0,1,-10.0
2,0,0,0,1,-7.333333333333333
3,0,0,0,1,0.25
4,0,0,0,1,46.2
5,2,0,0,1,221.0
6,3,0,0,1,212.0
7,5,0,0,1,317.125
8,5,0,0,1,229.77777777777777
9,5,0,0,1,185.3
10,4,0,0,1,120.9090909090909
11,5,0,0,1,187.75
12,5,0,1,1,176.6153846153846
13,5,0,1,1,195.71428571428572
14,6,0,1,1,229.0
15,9,1,1,1,315.0625
16,10,2,1,1,339.29411764705884
17,6,3,1,1,232.11111111111111
18,7,3,0,1,207.6315789473684
19,8,3,0,1,242.3
20,9,3,0,1,238.0
21,9,3,0,1,219.63636363636363
22,12,3,0,1,291.69565217391306
23,12,4,0,1,291.2083333333333
24,12,4,-1,1,242.64
25,12,3,-1,1,208.69230769230768
26,9,2,-1,1,95.85185185185185
27,8,1,-1,1,33.5
28,5,1,-1,1,-42.758620689655174
29,3,0,-2,1,-87.7
30,0,0,-2,1,-108.83870967741936
31,1,-1,-2,1,-114.75
32,2,-1,-2,1,-59.75757575757576
33,3,0,-2,1,-15.294117647058824
34,3,0,-2,1,-18.514285714285716
35,3,0,-2,1,-12.38888888888889
36,3,0,-1,1,-15.513513513513514
37,4,0,-1,1,-7.7368421052631575
38,4,0,-1,1,3.7948717948717947
39,6,0,-1,1,45.175
40,6,0,-1,1,56.80487804878049
41,4,-1,-2,1,5.857142857142857
42,3,-1,-2,1,-14.69767441860465
43,6,-1,-2,1,18.863636363636363
43,8,2,-2,1,91.97727272727273
0,0,0,0,0,0.0
1,0,0,0,0,-2.5
2,0,0,0,0,-71.33333333333333
3,-2,0,0,0,-286.25
4,-2,0,0,0,-188.4
5,-3,0,0,0,-202.16666666666666
6,-3,0,0,0,-165.14285714285714
7,-3,0,0,0,-114.125
8,-4,0,0,0,-125.11111111111111
9,-6,0,-1,0,-138.8
10,-8,0,-1,0,-205.72727272727272
11,-10,0,-1,0,-254.08333333333334
12,-11,0,-1,0,-250.3846153846154
13,-12,-1,-1,0,-374.7142857142857
14,-13,-2,-1,0,-412.53333333333336
15,-14,-2,-1,0,-349.6875
15,-16,-2,-1,0,-434.9375
0,0,0,0,1,0.0
1,0,0,0,1,0.0
2,0,0,0,1,-91.33333333333333
3,1,0,0,1,79.75
4,0,0,0,1,-73.6
5,0,0,0,1,-47.333333333333336
6,0,0,0,1,-43.42857142857143
7,-1,0,0,1,-94.875
8,-2,0,-1,1,-138.44444444444446
9,-2,0,-1,1,-123.5
10,-4,0,-1,1,-188.45454545454547
11,-7,0,-1,1,-285.0
12,-7,0,-1,1,-261.0
13,-8,0,-1,1,-294.2857142857143
14,-9,0,-2,1,-329.46666666666664
15,-9,-1,-2,1,-357.3125
16,-9,-1,-2,1,-294.94117647058823
17,-9,-1,-2,1,-243.44444444444446
18,-8,-2,-2,1,-190.3684210526316
19,-8,-2,-2,1,-135.35
20,-9,-2,-3,1,-150.23809523809524
21,-8,-2,-3,1,-129.22727272727272
22,-9,0,-3,1,-133.7391304347826
23,-8,-1,-3,1,-139.58333333333334
24,-8,-2,-3,1,-153.88
25,-11,-3,-3,1,-248.69230769230768
26,-13,-3,-2,1,-233.7037037037037
27,-14,-3,-2,1,-245.71428571428572
28,-15,-3,-2,1,-227.3448275862069
29,-15,-3,-2,1,-223.7
30,-14,-3,-2,1,-151.70967741935485
31,-13,-3,-1,1,-102.8125
32,-12,-2,-1,1,-60.93939393939394
33,-11,0,-1,1,-6.705882352941177
34,-12,-1,-1,1,-26.285714285714285
35,-11,-1,-1,1,-3.0833333333333335
36,-10,-1,-1,1,25.10810810810811
37,-7,0,-1,1,93.73684210526316
37,-7,2,-1,1,105.84210526315789
0,0,0,0,1,0.0
1,0,0,0,1,0.0
2,0,0,0,1,164.0
2,1,0,0,1,434.3333333333333
0,0,0,0,0,0.0
1,0,0,0,0,0.0
2,1,0,0,0,181.33333333333334
3,0,0,0,0,9.25
4,0,0,0,0,6.4
5,0,0,0,0,16.666666666666668
6,1,0,0,0,65.42857142857143
7,1,0,1,0,61.125
8,3,0,1,0,148.77777777777777
9,3,0,1,0,153.1
10,0,0,1,0,43.90909090909091
11,1,0,1,0,113.5
12,1,0,1,0,73.38461538461539
13,2,0,2,0,136.5
14,2,0,2,0,137.93333333333334
15,2,0,2,0,125.25
16,1,1,2,0,99.94117647058823
17,2,3,2,0,175.72222222222223
18,0,2,2,0,83.89473684210526
19,0,2,2,0,68.7
20,1,2,1,0,85.52380952380952
21,1,2,1,0,93.77272727272727
22,1,3,1,0,78.65217391304348
23,0,2,1,0,51.25
24,-1,1,1,0,3.76
25,2,1,2,0,102.65384615384616
26,2,1,2,0,116.03703703703704
27,0,2,2,0,79.92857142857143
28,-2,2,2,0,8.03448275862069
29,-3,1,2,0,-27.466666666666665
30,-3,2,2,0,-26.806451612903224
31,-1,1,1,0,5.90625
32,-2,1,1,0,-23.757575757575758
33,-4,1,1,0,-42.85294117647059
34,-6,-1,1,0,-143.11428571428573
35,-7,-1,1,0,-164.13888888888889
36,-7,-1,0,0,-170.16216216216216
37,-7,-1,0,0,-178.07894736842104
37,-7,-4,0,0,-187.76315789473685
0,0,0,0,1,0.0
1,0,0,0,1,0.0
2,0,0,0,1,60.333333333333336
3,2,0,0,1,267.5
4,1,0,0,1,91.0
5,2,0,0,1,157.33333333333334
6,3,0,0,1,166.85714285714286
7,1,0,0,1,-63.5
8,2,0,-1,1,-18.555555555555557
9,3,0,-1,1,19.8
10,3,0,-1,1,-5.909090909090909
11,5,0,-1,1,77.91666666666667
12,6,0,-1,1,89.0
13,8,0,-1,1,126.78571428571429
14,9,0,0,1,135.53333333333333
15,8,0,0,1,75.3125
16,9,0,0,1,81.47058823529412
17,11,1,0,1,149.27777777777777
18,11,0,0,1,106.73684210526316
19,12,0,0,1,112.5
20,9,0,0,1,4.9523809523809526
21,13,0,0,1,63.18181818181818
22,13,1,1,1,84.82608695652173
23,14,1,1,1,67.58333333333333
24,17,1,1,1,98.56
25,18,1,1,1,128.34615384615384
26,17,1,1,1,73.03703703703704
27,19,-1,2,1,76.92857142857143
28,21,0,2,1,111.03448275862068
28,23,1,2,1,179.82758620689654
0,0,0,0,1,0.0
1,0,0,0,1,-2500.0
2,2,0,0,1,-2003.3333333333333
3,0,0,0,1,-2375.5
4,0,0,0,1,-1896.4
5,-2,0,0,1,-1747.0
6,-3,0,0,1,-1711.7142857142858
7,-4,0,0,1,-3385.25
8,-4,0,0,1,-3230.4444444444443
9,-5,0,0,1,-3019.9
10,-4,0,0,1,-4038.5454545454545
11,-5,0,0,1,-3795.75
12,-4,0,0,1,-3782.0
13,-4,0,0,1,-3565.5714285714284
14,0,0,0,1,-3327.866666666667
15,-2,0,0,1,-3237.0625
16,0,0,0,1,-3905.470588235294
17,0,0,0,1,-3744.0555555555557
18,-3,0,0,1,-3869.9473684210525
19,-6,0,0,1,-3726.45
20,-7,0,0,1,-3531.0
21,-9,0,0,1,-3630.2727272727275
22,-8,0,0,1,-3657.608695652174
23,-8,0,0,1,-3505.2083333333335
24,-10,0,0,1,-3569.0
24,-12,0,0,1,-3588.6
